path,name,label,parent_path,depth,inclusive_ms,self_ms,percent_of_parent,percent_of_root,category,iteration,device,notes
engine_total,engine_total,engine_total,,0,14642.102499999964,0.9506999977020314,100.0,100.0,,,cpu,
engine_total/positive_reasoning,positive_reasoning,initial forward Task M pass,engine_total,1,6686.683500000072,1.5913000024738722,45.66750915724083,45.66750915724083,host_runtime,,,
engine_total/positive_reasoning/schema_setup,schema_setup,schema_setup,engine_total/positive_reasoning,2,61.315499999182066,-0.5796000023110537,0.9169792468744992,0.41876158153640985,tbox_cacheable,,,
engine_total/positive_reasoning/schema_setup/rule_extraction,rule_extraction,rule extraction,engine_total/positive_reasoning/schema_setup,3,16.937200000029407,16.937200000029407,27.62303169713261,0.11567464440321631,tbox_cacheable,,,
engine_total/positive_reasoning/schema_setup/rule_index,rule_index,rule index,engine_total/positive_reasoning/schema_setup,3,0.08030000026337802,0.08030000026337802,0.13096199209734766,0.0005484185093184412,tbox_cacheable,,,
engine_total/positive_reasoning/schema_setup/schema_cache,schema_cache,schema cache / compile context,engine_total/positive_reasoning/schema_setup,3,44.006899999658344,44.006899999658344,71.7712487058662,0.3005504161691154,tbox_cacheable,,,
engine_total/positive_reasoning/schema_setup/initial_ontology_merge,initial_ontology_merge,initial ontology merge,engine_total/positive_reasoning/schema_setup,3,0.11620000077527948,0.11620000077527948,0.18951162557074402,0.0007936018804354072,abox_once,,,
engine_total/positive_reasoning/schema_setup/preprocessing_plan,preprocessing_plan,preprocessing plan,engine_total/positive_reasoning/schema_setup,3,0.14740000005986076,0.14740000005986076,0.240395984802908,0.001006686027910685,abox_once,,,
engine_total/positive_reasoning/schema_setup/dependency_closure,dependency_closure,dependency closure,engine_total/positive_reasoning/schema_setup,3,0.6071000007068506,0.6071000007068506,0.9901248472489812,0.004146262469524797,tbox_cacheable,,,
engine_total/positive_reasoning/initial_data_copy,initial_data_copy,initial data copy,engine_total/positive_reasoning,2,742.0721999988018,742.0721999988018,11.09776169305447,5.068071337424414,abox_once,,,
engine_total/positive_reasoning/iteration_1,iteration_1,iteration_1,engine_total/positive_reasoning,2,5755.367800000386,0.31260000105248764,86.07208341774101,39.306976576624834,host_runtime,1,,
engine_total/positive_reasoning/iteration_1/dataset_refresh,dataset_refresh,dataset_refresh,engine_total/positive_reasoning/iteration_1,3,5621.593500000017,5020.637399999032,97.67566027664888,38.393348906006025,host_runtime,,,
engine_total/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep,scan_cache_index_prep,scan cache/index prep,engine_total/positive_reasoning/iteration_1/dataset_refresh,4,600.9561000009853,0.0,10.690137947558526,4.104301960739496,abox_once,,,
engine_total/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep/mapping_vocab_collect,mapping_vocab_collect,vocab collect,engine_total/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep,5,0.009299999874201603,0.009299999874201603,0.0015475339836281477,6.35154676331601e-05,abox_once,,,
engine_total/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep/mapping_graph_scan,mapping_graph_scan,graph scan,engine_total/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep,5,600.9468000011111,600.9468000011111,99.99845246601637,4.1042384452718625,abox_once,,,
engine_total/positive_reasoning/iteration_1/reasoner_setup,reasoner_setup,reasoner setup,engine_total/positive_reasoning/iteration_1,3,16.039699999964796,16.039699999964796,0.278691137688259,0.10954506021225321,host_runtime,,cpu,
engine_total/positive_reasoning/iteration_1/dag_compile,dag_compile,dag compile,engine_total/positive_reasoning/iteration_1,3,8.295099998576916,8.295099998576916,0.14412806073968654,0.0566523830752922,host_runtime,,cpu,
engine_total/positive_reasoning/iteration_1/dag_eval,dag_eval,dag eval,engine_total/positive_reasoning/iteration_1,3,77.5735999995959,77.5735999995959,1.347847829978663,0.5297982308182592,device_runtime,,cpu,
engine_total/positive_reasoning/iteration_1/assertion_update,assertion_update,assertion update,engine_total/positive_reasoning/iteration_1,3,31.553300001178286,31.553300001178286,0.548241243612201,0.21549705721004456,host_runtime,,,
engine_total/positive_reasoning/iteration_2,iteration_2,iteration_2,engine_total/positive_reasoning,2,126.33669999922859,0.08799999886832666,1.8893775965204158,0.8628316869058177,host_runtime,2,,
engine_total/positive_reasoning/iteration_2/dataset_refresh,dataset_refresh,dataset_refresh,engine_total/positive_reasoning/iteration_2,3,59.50239999947371,59.50239999947371,47.0982699404346,0.40637879703050744,host_runtime,,,
engine_total/positive_reasoning/iteration_2/reasoner_setup,reasoner_setup,reasoner setup,engine_total/positive_reasoning/iteration_2,3,10.737399999925401,10.737399999925401,8.499034722286527,0.07333236466501603,host_runtime,,cpu,
engine_total/positive_reasoning/iteration_2/dag_compile,dag_compile,dag compile,engine_total/positive_reasoning/iteration_2,3,0.02930000118794851,0.02930000118794851,0.023191995032423213,0.00020010788196537062,host_runtime,,cpu,
engine_total/positive_reasoning/iteration_2/dag_eval,dag_eval,dag eval,engine_total/positive_reasoning/iteration_2,3,55.034899998645415,55.034899998645415,43.562084492456634,0.37586746847760116,device_runtime,,cpu,
engine_total/positive_reasoning/iteration_2/assertion_update,assertion_update,assertion update,engine_total/positive_reasoning/iteration_2,3,0.9447000011277851,0.9447000011277851,0.7477637148457681,0.006451942274873348,host_runtime,,,
engine_total/seed_admissibility_input,seed_admissibility_input,seed admissibility input,engine_total,1,658.1925000009505,658.1925000009505,4.495204838246093,4.495204838246093,host_runtime,,,
engine_total/admissibility_evaluation,admissibility_evaluation,admissibility evaluation,engine_total,1,6291.366800000105,25.110500000664615,42.967646210645775,42.967646210645775,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering,input_lowering,input_lowering,engine_total/admissibility_evaluation,2,6247.790800000075,0.0,99.30736831303447,42.6700386778476,abox_once,,,
engine_total/admissibility_evaluation/input_lowering/scan_cache_index_prep,scan_cache_index_prep,scan cache/index prep,engine_total/admissibility_evaluation/input_lowering,3,307.313700001032,0.0,4.9187578431888,2.0988358741583233,abox_once,,,
engine_total/admissibility_evaluation/input_lowering/scan_cache_index_prep/mapping_vocab_collect,mapping_vocab_collect,vocab collect,engine_total/admissibility_evaluation/input_lowering/scan_cache_index_prep,4,0.021800000467919745,0.021800000467919745,0.0070937288080051555,0.00014888572503791582,abox_once,,,
engine_total/admissibility_evaluation/input_lowering/scan_cache_index_prep/mapping_graph_scan,mapping_graph_scan,graph scan,engine_total/admissibility_evaluation/input_lowering/scan_cache_index_prep,4,307.29190000056406,307.29190000056406,99.992906271192,2.0986869884332857,abox_once,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly,dataset_native_assembly,dataset build/native assembly,engine_total/admissibility_evaluation/input_lowering,3,5940.477099999043,29.020600000876584,95.0812421568112,40.571202803689275,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/data_copy,data_copy,data copy,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly,4,876.2291999992158,876.2291999992158,14.750148603373237,5.9843127037200965,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/ontology_merge,ontology_merge,ontology merge,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly,4,0.08119999984046444,0.08119999984046444,0.0013668935756099038,0.0005545651646712939,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/hierarchy,hierarchy,hierarchy,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly,4,870.392400000128,870.392400000128,14.651893868932989,5.944449576146117,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/horn_safe_domain_range,horn_safe_domain_range,horn-safe domain/range,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly,4,754.1879000000336,754.1879000000336,12.69574627263785,5.150816967713724,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/sameas,sameas,sameAs,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly,4,1550.849700000981,1550.849700000981,26.10648393882759,10.591714543734309,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/reflexive,reflexive,reflexive,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly,4,224.53549999954703,224.53549999954703,3.7797553331126084,1.5334922016803774,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/target_roles,target_roles,target roles,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly,4,1219.4252999997843,1219.4252999997843,20.527396696807074,8.328211744179411,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build,kgraph_build,kgraph build,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly,4,415.7552999986365,374.88850000045204,6.998685341261621,2.839450823395325,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/mapping_finalize,mapping_finalize,mapping finalize,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build,5,6.496799998785718,0.0,1.5626499527022326,0.044370676948790204,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/mapping_finalize/mapping_sort,mapping_sort,mapping sort,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/mapping_finalize,6,5.851399999301066,5.851399999301066,90.06587859245658,0.0399628400313485,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/mapping_finalize/mapping_index,mapping_index,mapping index,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/mapping_finalize,6,0.6453999994846527,0.6453999994846527,9.93412140754342,0.004407836917441701,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/kgraph_internals,kgraph_internals,kgraph internals,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build,5,34.369999999398715,0.0,8.266881985512017,0.23473404860674071,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/kgraph_internals/edge_buckets,edge_buckets,edge buckets,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/kgraph_internals,6,14.184999999997672,14.184999999997672,41.271457667284935,0.09687816350143502,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/kgraph_internals/negative_helpers,negative_helpers,negative helpers,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/kgraph_internals,6,0.3813999992416939,0.3813999992416939,1.1096886798032188,0.0026048171650327866,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/kgraph_internals/literal_features,literal_features,literal features,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/kgraph_internals,6,1.2136999994254438,1.2136999994254438,3.53127727508489,0.008289110115336557,host_runtime,,,
engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/kgraph_internals/adjacency,adjacency,adjacency,engine_total/admissibility_evaluation/input_lowering/dataset_native_assembly/kgraph_build/kgraph_internals,6,18.589900000733905,18.589900000733905,54.08757637782696,0.12696195782493636,host_runtime,,,
engine_total/admissibility_evaluation/dag_compile,dag_compile,dag compile,engine_total/admissibility_evaluation,2,2.338100000997656,2.338100000997656,0.037163625573343094,0.015968335155403135,host_runtime,,,
engine_total/admissibility_evaluation/dag_eval,dag_eval,dag eval,engine_total/admissibility_evaluation,2,16.127399998367764,16.127399998367764,0.2563417538835519,0.11014401789884891,device_runtime,,cpu,
engine_total/engine_postprocess,engine_postprocess,engine postprocess,engine_total,1,1004.9090000011347,1004.9090000011347,6.863146873894219,6.863146873894219,host_runtime,,,
