path,name,label,parent_path,depth,inclusive_ms,self_ms,percent_of_parent,percent_of_root,category,iteration,device,notes
engine_total,engine_total,engine_total,,0,73586.32229999967,0.50560000090627,100.0,100.0,,,cpu,
engine_total/stratified_execution,stratified_execution,stratified execution,engine_total,1,73159.57469999921,60.171499999341904,99.42007211848328,99.42007211848328,host_runtime,,,
engine_total/stratified_execution/positive_reasoning,positive_reasoning,positive_reasoning,engine_total/stratified_execution,2,68043.31379999894,1.0739999979705317,93.00671043950133,92.46733859398114,host_runtime,,cpu,
engine_total/stratified_execution/positive_reasoning/schema_setup,schema_setup,schema_setup,engine_total/stratified_execution/positive_reasoning,3,425.276699999813,-0.4529000016191276,0.6250088013788352,0.5779290046131507,tbox_cacheable,,,
engine_total/stratified_execution/positive_reasoning/schema_setup/rule_extraction,rule_extraction,rule extraction,engine_total/stratified_execution/positive_reasoning/schema_setup,4,34.771399999954156,34.771399999954156,8.176182706451927,0.04725253133075019,tbox_cacheable,,,
engine_total/stratified_execution/positive_reasoning/schema_setup/rule_index,rule_index,rule index,engine_total/stratified_execution/positive_reasoning/schema_setup,4,0.07980000009411015,0.07980000009411015,0.018764253977268268,0.00010844406623391003,tbox_cacheable,,,
engine_total/stratified_execution/positive_reasoning/schema_setup/schema_cache,schema_cache,schema cache / compile context,engine_total/stratified_execution/positive_reasoning/schema_setup,4,389.21030000165047,389.21030000165047,91.51930966399561,0.5289166353699568,tbox_cacheable,,,
engine_total/stratified_execution/positive_reasoning/schema_setup/initial_ontology_merge,initial_ontology_merge,initial ontology merge,engine_total/stratified_execution/positive_reasoning/schema_setup,4,1.065000000380678,1.065000000380678,0.250425193851708,0.0014472798301277288,abox_once,,,
engine_total/stratified_execution/positive_reasoning/schema_setup/preprocessing_plan,preprocessing_plan,preprocessing plan,engine_total/stratified_execution/positive_reasoning/schema_setup,4,0.11639999866019934,0.11639999866019934,0.027370415228544272,0.0001581815682888121,abox_once,,,
engine_total/stratified_execution/positive_reasoning/schema_setup/dependency_closure,dependency_closure,dependency closure,engine_total/stratified_execution/positive_reasoning/schema_setup,4,0.4867000006925082,0.4867000006925082,0.11444313800702512,0.0006614000883320546,tbox_cacheable,,,
engine_total/stratified_execution/positive_reasoning/iteration_1,iteration_1,iteration_1,engine_total/stratified_execution/positive_reasoning,3,59259.28560000102,130.64130000202567,87.09053438253024,80.5302993108018,host_runtime,1,,
engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh,dataset_refresh,dataset_refresh,engine_total/stratified_execution/positive_reasoning/iteration_1,4,40361.50369999996,787.9114999996091,68.11000721885054,54.849192673949055,host_runtime,,,
engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep,scan_cache_index_prep,scan cache/index prep,engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh,5,23480.443000000378,0.0,58.17534246128794,31.90870567532152,host_runtime,,,
engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep/mapping_vocab_collect,mapping_vocab_collect,vocab collect,engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep,6,0.007799999366397969,0.007799999366397969,3.321913205128985e-05,1.0599795074142474e-05,host_runtime,,,
engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep/mapping_graph_scan,mapping_graph_scan,graph scan,engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep,6,23480.43520000101,23480.43520000101,99.99996678086795,31.908695075526445,host_runtime,,,
engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/dataset_native_assembly,dataset_native_assembly,dataset build/native assembly,engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh,5,16093.14919999997,0.0,39.872521399642466,21.86975608645147,host_runtime,,,
engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/dataset_native_assembly/ontology_merge,ontology_merge,ontology merge,engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/dataset_native_assembly,6,0.03219999962311704,0.03219999962311704,0.00020008513699181445,4.3758131425352104e-05,host_runtime,,,
engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/dataset_native_assembly/schema_individual_import,schema_individual_import,schema individual import,engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/dataset_native_assembly,6,1089.8010000000795,1089.8010000000795,6.771831830155913,1.4809831038397803,host_runtime,,,
engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/dataset_native_assembly/kgraph_build,kgraph_build,kgraph build,engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/dataset_native_assembly,6,15003.316000000268,11550.632200001928,93.22796808470709,20.38872922448026,host_runtime,,,
engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/dataset_native_assembly/kgraph_build/mapping_finalize,mapping_finalize,mapping finalize,engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/dataset_native_assembly/kgraph_build,7,1477.0103999999264,0.0,9.844559696002538,2.0071806197602746,host_runtime,,,
