path,name,label,parent_path,depth,inclusive_ms,self_ms,percent_of_parent,percent_of_root,category,iteration,device,notes
engine_total,engine_total,engine_total,,0,52682.792300000074,0.7867000003898283,100.0,100.0,,,cuda,
engine_total/stratified_execution,stratified_execution,stratified execution,engine_total,1,52288.43550000056,24.966000000858912,99.25145045890153,99.25145045890153,host_runtime,,,
engine_total/stratified_execution/positive_reasoning,positive_reasoning,positive_reasoning,engine_total/stratified_execution,2,47609.3578,9.584400000676396,91.05141001971552,90.36984510784924,host_runtime,,cuda,
engine_total/stratified_execution/positive_reasoning/schema_setup,schema_setup,schema_setup,engine_total/stratified_execution/positive_reasoning,3,175.9089999995922,-1.2674000008701114,0.3694840849115428,0.3339021952327154,tbox_cacheable,,,
engine_total/stratified_execution/positive_reasoning/schema_setup/rule_extraction,rule_extraction,rule extraction,engine_total/stratified_execution/positive_reasoning/schema_setup,4,50.67030000100203,50.67030000100203,28.804836592283227,0.09617998171483018,tbox_cacheable,,,
engine_total/stratified_execution/positive_reasoning/schema_setup/rule_index,rule_index,rule index,engine_total/stratified_execution/positive_reasoning/schema_setup,4,0.21609999930660706,0.21609999930660706,0.12284760831288224,0.0004101908609476016,tbox_cacheable,,,
engine_total/stratified_execution/positive_reasoning/schema_setup/schema_cache,schema_cache,schema cache / compile context,engine_total/stratified_execution/positive_reasoning/schema_setup,4,98.28890000062529,98.28890000062529,55.87485574976445,0.1865673699315766,tbox_cacheable,,,
engine_total/stratified_execution/positive_reasoning/schema_setup/initial_ontology_merge,initial_ontology_merge,initial ontology merge,engine_total/stratified_execution/positive_reasoning/schema_setup,4,24.295799999890733,24.295799999890733,13.811573029206611,0.04611714554069052,abox_once,,,
engine_total/stratified_execution/positive_reasoning/schema_setup/preprocessing_plan,preprocessing_plan,preprocessing plan,engine_total/stratified_execution/positive_reasoning/schema_setup,4,1.8743999989965232,1.8743999989965232,1.0655509377012369,0.003557897972307213,abox_once,,,
engine_total/stratified_execution/positive_reasoning/schema_setup/dependency_closure,dependency_closure,dependency closure,engine_total/stratified_execution/positive_reasoning/schema_setup,4,1.8309000006411225,1.8309000006411225,1.0408222436858643,0.0034753283201375035,tbox_cacheable,,,
engine_total/stratified_execution/positive_reasoning/iteration_1,iteration_1,iteration_1,engine_total/stratified_execution/positive_reasoning,3,45615.05279999983,106.50390000228072,95.8111071181049,86.58434909874693,host_runtime,1,,
engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh,dataset_refresh,dataset_refresh,engine_total/stratified_execution/positive_reasoning/iteration_1,4,41045.9981999993,561.9107999973494,89.98344993694593,77.91158442450144,host_runtime,,,
engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep,scan_cache_index_prep,scan cache/index prep,engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh,5,25332.19960000133,0.0,61.716612363935056,48.08439054586956,host_runtime,,,
engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep/mapping_vocab_collect,mapping_vocab_collect,vocab collect,engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep,6,0.03000000106112566,0.03000000106112566,0.00011842635671133778,5.6944591870324265e-05,host_runtime,,,
engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep/mapping_graph_scan,mapping_graph_scan,graph scan,engine_total/stratified_execution/positive_reasoning/iteration_1/dataset_refresh/scan_cache_index_prep,6,25332.16960000027,25332.16960000027,99.9998815736433,48.08433360127769,host_runtime,,,
